[RECRUITMENT]
Fecha	28/01/26 17:04:27
Archivo	1769619867820.txt
Ventilador	42376 
Sistema	4.4 
Versión	4.4.0.78be7bed 
Estado de control preliminar	Pasado
Última ejecución de control preliminar	28/01/26 16:52:29
Date format	dd/MM/yy
Language setting	es_ES
Decimal separator	POINT
==========
Hora inicio maniobra reclutamiento	17:01:32
Hora final maniobra reclutamiento	17:04:27
Intervalo de tiempo	2 Minutos

[SETTINGS]
PEEPmáx	25	cmH2O
Pmáx	40	cmH2O
Δ PEEP/paso	5	cmH2O
F resp.	12	resp/min
Respirac./paso	5	
Respirac. con Pmáx	10	
PEEP tras RECLUT.	8.0	cmH2O


[RESULTS]
Estado	Completado
Causa cancelación	


[DATA]
Tiempo	Cdin. (ml/cmH2O)	Pei (cmH2O)	PEEP (cmH2O)	Vce. (ml)	Vci (ml)	Pactividad (cmH2O)	I:E ()	F resp. (resp/min)	VcCO2 ()	IE ()	PL ei (cmH2O)	PL ee (cmH2O)	PL activ. (cmH2O)
17:01:33	21.8	25	7.5	386	401	***	4.5 : 1	37	 	0.95	 	 	 	
17:01:35	21.8	25	7.6	385	402	***	4.4 : 1	37	 	0.95	 	 	 	
17:01:36	21.9	25	7.7	388	402	***	4.4 : 1	37	 	0.95	 	 	 	
17:01:38	21.8	25	7.9	384	400	***	4.6 : 1	37	 	0.95	 	 	 	
17:01:40	21.9	25	7.9	386	402	***	4.6 : 1	37	 	0.95	 	 	 	
17:01:41	21.8	25	7.6	387	402	***	4.5 : 1	37	 	 	 	 	 	
17:01:43	21.8	29	7.6	386	402	***	4.5 : 1	37	 	 	 	 	 	
17:01:44	22.6	29	7.7	473	499	***	4.2 : 1	37	 	 	 	 	 	
17:01:47	22.7	31	7.6	475	494	***	4.1 : 1	37	 	 	 	 	 	
17:01:52	24.1	31	12	478	592	***	1.0 : 1	33	 	 	 	 	 	
17:01:57	23.9	31	12	470	495	19	1.0 : 1	29	 	 	 	 	 	
17:02:02	24.3	31	12	483	495	19	1.0 : 1	25	 	 	 	 	 	
17:02:07	23.4	31	12	454	491	19	1.0 : 1	21	 	 	 	 	 	
17:02:12	24.0	31	12	469	490	19	1.0 : 1	17	 	 	 	 	 	
17:02:17	26.2	34	16	487	611	22	1.0 : 1	13	 	 	 	 	 	
17:02:22	26.6	34	16	493	519	18	1.0 : 1	12	 	 	 	 	 	
17:02:27	23.6	35	17	451	446	19	1.0 : 1	12	 	 	 	 	 	
17:02:32	20.1	35	17	381	383	18	1.0 : 1	12	 	 	 	 	 	
17:02:37	20.6	35	17	387	401	18	1.0 : 1	12	 	 	 	 	 	
17:02:42	23.5	38	21	426	532	22	1.0 : 1	12	 	 	 	 	 	
17:02:47	23.3	38	21	415	436	17	1.0 : 1	12	 	 	 	 	 	
17:02:52	24.0	38	21	432	435	17	1.0 : 1	12	 	 	 	 	 	
17:02:57	23.1	38	21	418	430	18	1.0 : 1	12	 	 	 	 	 	
17:03:02	21.4	38	20	422	423	17	1.0 : 1	12	 	 	 	 	 	
17:03:07	24.7	41	25	429	542	21	1.0 : 1	12	 	 	 	 	 	
17:03:12	24.8	41	25	418	434	16	1.0 : 1	12	 	 	 	 	 	
17:03:17	24.7	41	25	420	431	16	1.0 : 1	12	 	 	 	 	 	
17:03:22	24.5	41	25	415	433	16	1.0 : 1	12	 	 	 	 	 	
17:03:27	24.0	41	25	406	431	16	1.0 : 1	12	 	 	 	 	 	
17:03:32	26.8	42	25	458	478	17	1.0 : 1	12	 	 	 	 	 	
17:03:37	25.4	41	25	433	430	16	1.0 : 1	12	 	 	 	 	 	
17:03:42	25.5	41	25	429	444	16	1.0 : 1	12	 	 	 	 	 	
17:03:47	25.2	41	25	420	443	16	1.0 : 1	12	 	 	 	 	 	
17:03:52	23.3	41	7.5	792	440	16	1 : 1.3	12	 	 	 	 	 	
17:03:54	20.5	27	7.7	398	420	20	4.5 : 1	13	 	 	 	 	 	
17:03:55	20.4	27	7.6	386	404	***	4.5 : 1	14	 	 	 	 	 	
17:03:57	20.1	27	7.5	386	400	***	4.5 : 1	16	 	 	 	 	 	
17:03:59	20.1	27	7.6	389	402	***	4.5 : 1	17	 	 	 	 	 	
17:04:00	20.1	27	7.5	388	402	***	4.5 : 1	18	 	 	 	 	 	
17:04:04	20.1	27	8.0	380	402	***	1 : 2.0	18	 	 	 	 	 	
17:04:06	20.2	27	7.5	387	399	***	4.5 : 1	19	 	0.98	 	 	 	
17:04:07	20.1	27	7.2	390	403	***	4.2 : 1	21	 	0.98	 	 	 	
17:04:09	20.1	27	7.5	389	403	***	4.4 : 1	22	 	0.98	 	 	 	
17:04:11	20.2	27	7.4	385	403	***	4.3 : 1	23	 	0.98	 	 	 	
17:04:13	20.0	27	7.3	384	401	***	2.5 : 1	25	 	0.98	 	 	 	
17:04:14	20.4	27	7.1	384	403	***	4.0 : 1	25	 	0.98	 	 	 	
17:04:16	20.2	27	7.4	387	402	***	4.3 : 1	26	 	0.98	 	 	 	
17:04:18	20.1	27	7.1	392	402	***	3.7 : 1	29	 	0.97	 	 	 	
17:04:19	20.0	27	7.1	385	403	***	2.9 : 1	29	 	0.97	 	 	 	
17:04:23	20.2	26	7.7	381	404	***	1 : 2.0	31	 	0.97	 	 	 	
17:04:25	21.0	27	7.5	366	401	***	4.6 : 1	31	 	0.97	 	 	 	
17:04:27	20.3	24	7.4	383	401	***	4.5 : 1	31	 	0.96	 	 	 	
