[RECRUITMENT]
Fecha	28/01/26 17:04:54
Archivo	1769619894247.txt
Ventilador	42376 
Sistema	4.4 
Versión	4.4.0.78be7bed 
Estado de control preliminar	Pasado
Última ejecución de control preliminar	28/01/26 16:52:29
Date format	dd/MM/yy
Language setting	es_ES
Decimal separator	POINT
==========
Hora inicio maniobra reclutamiento	16:57:50
Hora final maniobra reclutamiento	17:02:50
Intervalo de tiempo	5 Minutos

[DATA]
Tiempo	Cdin. (ml/cmH2O)	Pei (cmH2O)	PEEP (cmH2O)	Vce. (ml)	Vci (ml)	Pactividad (cmH2O)	I:E ()	F resp. (resp/min)	VcCO2 ()	IE ()	PL ei (cmH2O)	PL ee (cmH2O)	PL activ. (cmH2O)
16:58:22	 	 	 	 	 	 	 	 	 	 	 	 	 	
16:58:22	 	 	 	 	 	 	 	 	 	 	 	 	 	
16:58:24	***	10	7.4	53	1902	 	2.2 : 1	30	 	 	 	 	 	
16:58:28	***	24	7.5	#354	#385	***	1 : 2.0	20	 	 	 	 	 	
16:58:30	#21.8	25	7.1	#381	#403	***	4.3 : 1	24	 	 	 	 	 	
16:58:32	21.2	25	7.0	375	403	***	2.4 : 1	25	 	 	 	 	 	
16:58:34	21.8	25	7.3	382	403	***	4.5 : 1	27	 	 	 	 	 	
16:58:38	21.0	25	8.5	363	403	***	1 : 2.0	24	 	 	 	 	 	
16:58:39	22.1	26	7.5	401	399	18	4.5 : 1	25	 	0.95	 	 	 	
16:58:41	21.6	25	7.6	382	401	***	4.6 : 1	26	 	0.95	 	 	 	
16:58:42	21.6	25	7.4	381	402	***	4.5 : 1	27	 	0.94	 	 	 	
16:58:44	21.5	25	6.8	381	401	***	3.5 : 1	28	 	0.94	 	 	 	
16:58:46	21.8	25	7.5	383	403	***	4.4 : 1	28	 	0.94	 	 	 	
16:58:47	21.7	25	7.4	384	403	***	4.5 : 1	29	 	0.94	 	 	 	
16:58:49	21.7	25	7.4	384	403	***	4.7 : 1	29	 	0.94	 	 	 	
16:58:53	21.1	25	8.5	366	403	***	1 : 2.0	27	 	0.94	 	 	 	
16:58:55	22.2	26	7.6	403	400	18	4.5 : 1	28	 	0.94	 	 	 	
16:58:56	21.7	25	7.6	385	404	***	4.6 : 1	28	 	0.94	 	 	 	
16:58:58	21.7	25	7.5	383	403	***	4.5 : 1	31	 	0.94	 	 	 	
16:59:00	21.7	25	7.6	382	402	***	4.6 : 1	31	 	0.94	 	 	 	
16:59:01	21.7	25	7.3	384	403	***	4.3 : 1	31	 	0.94	 	 	 	
16:59:03	21.7	25	7.3	382	402	***	4.3 : 1	31	 	0.94	 	 	 	
16:59:05	21.7	25	7.4	382	402	***	4.5 : 1	31	 	0.94	 	 	 	
16:59:06	21.7	25	7.3	383	402	***	4.3 : 1	34	 	0.94	 	 	 	
16:59:08	21.7	25	7.0	384	402	***	4.2 : 1	34	 	0.94	 	 	 	
16:59:12	21.2	26	8.5	368	402	18	1 : 2.0	31	 	0.94	 	 	 	
16:59:16	21.0	26	8.5	385	399	18	1 : 2.0	28	 	#0.94	 	 	 	
